"","id","nsib79","afqtrev","urban14","male","mfinc1617","black","hisp","mhsgrad","mscoll","fhsgrad","fscoll","intact","mfinc1617q1","mfinc1617q2","mfinc1617q3","mfinc1617q4","mfinc1617q","afqtq1","afqtq2","afqtq3","afqtq4","afqtq","momageatbirth","dob62","dob63","dob64","hgc2122","hga2122","Dhgacoll2122","Dhgacoll2223","Dhgacoll2324","Dhgchs2122","Dhgchs2223","Dhgchs2324","fedmiss"
"131",346,2,37,1,1,4.04138084632517,0,0,1,0,0,0,1,0,1,0,0,2,0,1,0,0,2,27,1,0,0,14,15,1,1,1,1,1,1,0
"132",347,3,62,1,0,5.40963919821826,0,0,1,0,1,0,1,0,0,1,0,3,0,0,1,0,3,34,1,0,0,14,15,1,1,1,1,1,1,0
"133",350,4,46,1,1,12.4014922048998,0,0,1,0,1,0,1,0,0,0,1,4,0,0,1,0,3,31,1,0,0,14,15,1,1,1,1,1,1,0
"134",352,3,45,1,0,9.24498886414254,0,0,1,0,1,1,1,0,0,0,1,4,0,1,0,0,2,29,0,0,0,12,12,0,0,0,1,1,1,0
"135",355,4,42,1,1,6.06061674008811,0,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0,3,42,0,0,1,12,12,0,0,1,1,1,1,0
"136",356,3,43,1,1,6.38538173719376,0,0,1,0,1,0,1,0,0,1,0,3,0,1,0,0,2,26,1,0,0,11,12,0,0,0,0,0,0,0
"137",358,3,32,1,1,10.56570155902,0,0,1,0,1,1,1,0,0,0,1,4,0,1,0,0,2,32,0,0,0,14,15,1,1,1,1,1,1,0
"138",359,3,32,1,0,8.35033808463252,0,0,1,1,1,1,1,0,0,0,1,4,0,1,0,0,2,32,0,1,0,14,15,1,1,1,1,1,1,0
"139",360,2,87,1,0,11.8864142538976,0,0,1,1,1,1,1,0,0,0,1,4,0,0,0,1,4,32,0,0,0,15,16,1,1,1,1,1,1,0
"140",363,3,31,1,0,3.16971046770601,0,0,1,0,1,0,1,0,1,0,0,2,0,1,0,0,2,34,0,0,0,8,9,0,0,0,0,0,0,0
"141",366,8,56,1,1,NA,0,0,1,1,1,1,1,0,0,0,1,4,0,0,1,0,3,37,0,1,0,14,15,1,1,1,1,1,1,0
"142",372,2,90,1,1,8.71670378619154,0,0,1,0,1,1,1,0,0,0,1,4,0,0,0,1,4,26,0,0,0,15,15,1,1,1,1,1,1,0
"143",374,2,16,1,0,7.99559465478842,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,1,25,0,0,0,12,12,0,0,0,1,1,1,0
"144",378,5,26,1,1,1.42636971046771,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,29,0,0,0,10,11,0,0,0,0,0,0,0
"145",379,5,4,1,0,1.08072499735683,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,36,0,1,0,8,9,0,0,0,0,0,0,0
"146",384,5,27,1,1,3.54228351893096,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,2,26,1,0,0,12,12,0,0,0,1,1,1,0
"147",386,4,52,1,0,5.67906458797327,1,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,3,27,1,0,0,12,12,0,0,0,1,1,1,0
"148",387,4,1,1,1,6.42989952246696,1,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,1,27,0,1,0,12,12,0,0,0,1,1,1,0
"149",388,4,71,1,0,2.69391051224944,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,4,23,1,0,0,14,15,1,1,1,1,1,1,0
"150",390,2,7,1,0,3.69799554565702,1,0,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,21,0,0,0,10,10,0,0,0,0,0,0,0
"151",391,2,20,1,0,2.7278,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,2,22,0,1,0,11,12,0,0,0,0,0,1,0
"152",393,3,80,1,1,6.20206681514477,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,1,4,38,1,0,0,12,12,0,0,0,1,1,1,0
"153",394,11,5,1,1,2.64142538975501,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,27,0,0,0,11,12,0,0,0,0,0,0,0
"154",396,8,12,1,1,1.03792763876652,1,0,0,0,NA,NA,0,1,0,0,0,1,1,0,0,0,1,27,0,1,0,12,13,1,1,1,1,1,1,1
"155",400,2,99,1,0,6.73563474387528,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1,4,30,0,0,0,15,16,1,1,1,1,1,1,0
"156",401,3,24,1,0,5.28285077951002,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,2,36,0,0,0,8,9,0,0,0,0,0,0,0
"157",406,4,33,1,1,6.09980176211454,0,0,NA,NA,NA,NA,0,0,0,1,0,3,0,1,0,0,2,40,0,1,0,13,13,1,1,1,1,1,1,1
"158",407,3,40,1,0,3.87866904231626,0,0,1,1,NA,NA,1,0,1,0,0,2,0,0,1,0,3,34,0,1,0,14,15,1,1,1,1,1,1,1
"159",411,2,17,0,1,6.19942538975501,0,0,0,0,1,0,1,0,0,1,0,3,1,0,0,0,1,16,1,0,0,9,10,0,0,0,0,0,0,0
"160",412,2,56,0,1,6.54794654543919,0,0,0,0,1,0,1,0,0,1,0,3,0,0,1,0,3,22,0,0,1,12,13,1,1,1,1,1,1,0
