"","id","hisp","age97","momageatbirth","age98","age99","age00","age01","age02","age03","male","white","black","intact97","afqtq","afqt1","afqt2","afqt3","afqt4","cvhhlt18","msa12","hhinccat","hhinccat1","hhinccat2","hhinccat3","hhinccat4","hhnetworthcat","hhnetworthcat1","hhnetworthcat2","hhnetworthcat3","hhnetworthcat4","age04","b1980","b1981","b1982","b1983","b1984","Dhgacoll2122","Dhgc12_2122","momhs2","momcoll2","other"
"2729",3538,0,14,18,16,17,18,19,20,21,1,1,0,1,3,0,0,1,0,2,1,2,0,1,0,0,2,0,1,0,0,22,0,0,1,0,0,1,1,1,0,0
"2730",3539,0,14,29,16,17,18,19,20,21,1,1,0,1,2,0,1,0,0,2,NA,NA,NA,NA,NA,NA,1,1,0,0,0,22,0,0,1,0,0,0,1,1,0,0
"2731",3541,0,14,34,16,17,18,19,20,21,0,1,0,0,3,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,22,0,0,1,0,0,0,1,1,0,0
"2732",3542,0,15,NA,16,17,18,19,20,21,0,0,1,0,1,1,0,0,0,1,NA,1,1,0,0,0,2,0,1,0,0,22,0,0,1,0,0,1,1,NA,NA,0
"2733",3543,0,14,35,15,16,18,19,20,20,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,21,0,0,1,0,0,0,1,0,0,0
"2734",3544,0,12,NA,14,15,16,17,18,19,1,1,0,0,4,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,0,0,1,NA,NA,NA,NA,0
"2735",3545,0,12,19,13,14,16,17,18,18,1,1,0,0,2,0,1,0,0,1,1,1,1,0,0,0,3,0,0,1,0,20,0,0,0,0,1,NA,NA,NA,NA,0
"2736",3546,0,15,20,17,18,19,20,21,22,1,0,1,0,2,0,1,0,0,2,1,2,0,1,0,0,2,0,1,0,0,23,0,1,0,0,0,1,1,1,0,0
"2737",3547,0,13,22,15,16,17,18,19,20,1,0,1,0,2,0,1,0,0,2,1,2,0,1,0,0,2,0,1,0,0,21,0,0,0,1,0,0,1,1,0,0
"2738",3548,0,16,26,18,19,20,21,22,23,0,1,0,0,2,0,1,0,0,2,NA,2,0,1,0,0,4,0,0,0,1,24,1,0,0,0,0,1,1,1,1,0
"2739",3549,0,13,29,15,16,17,18,19,20,1,1,0,0,3,0,0,1,0,2,NA,2,0,1,0,0,4,0,0,0,1,21,0,0,0,1,0,1,1,1,1,0
"2740",3550,0,15,25,17,18,19,20,21,22,0,1,0,1,3,0,0,1,0,2,1,4,0,0,0,1,4,0,0,0,1,23,0,1,0,0,0,1,1,1,1,0
"2741",3551,0,16,31,17,18,19,20,21,22,1,0,0,1,2,0,1,0,0,3,NA,4,0,0,0,1,2,0,1,0,0,24,0,1,0,0,0,1,1,1,1,1
"2742",3552,0,13,25,15,16,17,18,19,20,0,1,0,0,2,0,1,0,0,1,1,2,0,1,0,0,2,0,1,0,0,21,0,0,0,1,0,1,1,1,1,0
"2743",3553,0,14,27,16,17,18,19,20,21,0,1,0,1,2,0,1,0,0,2,1,3,0,0,1,0,4,0,0,0,1,22,0,0,1,0,0,1,1,1,1,0
"2744",3554,0,12,28,14,15,16,17,18,19,1,1,0,1,3,0,0,1,0,2,1,3,0,0,1,0,4,0,0,0,1,20,0,0,0,0,1,NA,NA,1,1,0
"2745",3555,0,16,NA,17,18,19,20,21,22,0,1,0,0,3,0,0,1,0,3,NA,3,0,0,1,0,3,0,0,1,0,23,0,1,0,0,0,1,1,1,0,0
"2746",3556,0,14,NA,15,16,18,18,20,20,1,1,0,0,4,0,0,0,1,3,NA,3,0,0,1,0,3,0,0,1,0,21,0,0,0,1,0,1,1,1,0,0
"2747",3557,0,12,39,14,15,16,17,18,19,1,1,0,1,4,0,0,0,1,2,1,2,0,1,0,0,2,0,1,0,0,20,0,0,0,0,1,NA,NA,1,1,0
"2748",3558,0,12,21,14,15,16,17,18,19,1,1,0,1,4,0,0,0,1,2,1,3,0,0,1,0,3,0,0,1,0,20,0,0,0,0,1,NA,NA,1,0,0
"2749",3559,0,16,27,NA,18,20,20,22,NA,1,1,0,1,4,0,0,0,1,1,1,NA,NA,NA,NA,NA,4,0,0,0,1,NA,0,1,0,0,0,1,1,1,1,0
"2750",3560,0,12,25,14,15,16,17,18,19,1,1,0,0,3,0,0,1,0,2,1,2,0,1,0,0,3,0,0,1,0,20,0,0,0,0,1,NA,NA,1,1,0
"2751",3561,0,12,29,14,15,16,17,18,19,0,1,0,1,4,0,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,0,0,1,NA,NA,1,1,0
"2752",3562,0,16,23,17,18,19,20,21,22,0,1,0,1,4,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,1,0,0,0,1,1,1,0,0
"2753",3563,0,14,25,15,16,17,18,19,20,1,1,0,1,4,0,0,0,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0,0,1,0,1,1,1,0,0
